x: -0.0767669677734375, y: 0.08282470703125, z: -0.972503662109375, 
x: -0.0894775390625, y: 0.0601959228515625, z: -0.97161865234375, 
x: -0.104171752929688, y: 0.070587158203125, z: -0.97943115234375, 
x: -0.105667114257812, y: 0.116424560546875, z: -0.988052368164062, 
x: -0.102294921875, y: 0.169082641601562, z: -0.99072265625, 
x: -0.089111328125, y: 0.208877563476562, z: -0.982147216796875, 
x: -0.090087890625, y: 0.226181030273438, z: -0.994384765625, 
x: -0.085693359375, y: 0.205368041992188, z: -0.974761962890625, 
x: -0.090545654296875, y: 0.171478271484375, z: -0.982345581054688, 
x: -0.08953857421875, y: 0.14935302734375, z: -0.98394775390625, 
x: -0.0792388916015625, y: 0.117324829101562, z: -0.980194091796875, 
x: -0.0875244140625, y: 0.093780517578125, z: -0.98822021484375, 
x: -0.096832275390625, y: 0.09521484375, z: -0.983261108398438, 
x: -0.105667114257812, y: 0.107528686523438, z: -0.982681274414062, 
x: -0.105682373046875, y: 0.119277954101562, z: -0.9757080078125, 
x: -0.099334716796875, y: 0.136032104492188, z: -0.979080200195312, 
x: -0.09539794921875, y: 0.15045166015625, z: -0.999237060546875, 
x: -0.08221435546875, y: 0.168014526367188, z: -0.98040771484375, 
x: -0.07977294921875, y: 0.184295654296875, z: -0.987228393554688, 
x: -0.0719451904296875, y: 0.17584228515625, z: -0.975936889648438, 
x: -0.0788116455078125, y: 0.178802490234375, z: -0.974929809570312, 
x: -0.0978851318359375, y: 0.172515869140625, z: -0.989730834960938, 
x: -0.092498779296875, y: 0.157638549804688, z: -0.974533081054688, 
x: -0.0983428955078125, y: 0.14892578125, z: -0.992324829101562, 
x: -0.102264404296875, y: 0.154342651367188, z: -0.992782592773438, 
x: -0.104721069335938, y: 0.145919799804688, z: -0.984939575195312, 
x: -0.103225708007812, y: 0.1109619140625, z: -0.981674194335938, 
x: -0.0875396728515625, y: 0.0838470458984375, z: -0.975936889648438, 
x: -0.0723419189453125, y: 0.0799102783203125, z: -0.976959228515625, 
x: -0.079193115234375, y: 0.084381103515625, z: -0.98284912109375, 
x: -0.0919342041015625, y: 0.0947265625, z: -0.9842529296875, 
x: -0.086578369140625, y: 0.118820190429688, z: -0.981170654296875, 
x: -0.0773162841796875, y: 0.160614013671875, z: -0.977493286132812, 
x: -0.07733154296875, y: 0.187210083007812, z: -0.982772827148438, 
x: -0.080291748046875, y: 0.199508666992188, z: -0.980239868164062, 
x: -0.0876312255859375, y: 0.196044921875, z: -0.977279663085938, 
x: -0.102294921875, y: 0.175933837890625, z: -0.984771728515625, 
x: -0.0998382568359375, y: 0.144882202148438, z: -0.978042602539062, 
x: -0.09588623046875, y: 0.119842529296875, z: -0.987060546875, 
x: -0.086090087890625, y: 0.122314453125, z: -0.989532470703125, 
x: -0.088043212890625, y: 0.13812255859375, z: -0.996841430664062, 
x: -0.0871124267578125, y: 0.155670166015625, z: -0.973068237304688, 
x: -0.084197998046875, y: 0.169891357421875, z: -0.967071533203125, 
x: -0.07489013671875, y: 0.164474487304688, z: -0.968109130859375, 
x: -0.074859619140625, y: 0.138442993164062, z: -0.974655151367188, 
x: -0.089019775390625, y: 0.12725830078125, z: -0.991485595703125, 
x: -0.0909881591796875, y: 0.138580322265625, z: -0.991912841796875, 
x: -0.0841522216796875, y: 0.14984130859375, z: -0.985443115234375, 
x: -0.075347900390625, y: 0.159164428710938, z: -0.981460571289062, 
x: -0.0738983154296875, y: 0.167465209960938, z: -0.9730224609375, 
x: -0.0812530517578125, y: 0.175338745117188, z: -0.97198486328125, 
x: -0.094482421875, y: 0.182769775390625, z: -0.97882080078125, 
x: -0.094482421875, y: 0.183746337890625, z: -0.978317260742188, 
x: -0.0930023193359375, y: 0.18975830078125, z: -0.992111206054688, 
x: -0.089080810546875, y: 0.184356689453125, z: -0.994125366210938, 
x: -0.0876007080078125, y: 0.167037963867188, z: -0.98040771484375, 
x: -0.0924835205078125, y: 0.1483154296875, z: -0.97802734375, 
x: -0.08807373046875, y: 0.138442993164062, z: -0.974151611328125, 
